original_path,new_path,action,reason,outcome_status,human_review_required
01-architecture/integration-architecture/troubleshooting-guide.md,95-review-required/generated-scaffolding/01-enterprise-architecture/integration-architecture/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/manifest.json,99-archive/historical-generation/manifests/architecture-manifest.json,archive,Historical generation manifest; not active knowledge.,Archived,false
01-architecture/medallion-architecture/README.md,03-data-engineering/medallion-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/medallion-architecture/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/medallion-architecture/learning-path.md,14-learning-paths/data-engineering/medallion-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/medallion-architecture/quick-reference.md,13-reference/data-engineering/medallion-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/medallion-architecture/reference-guide.md,03-data-engineering/medallion-architecture/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/medallion-architecture/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/medallion-architecture/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/README.md,01-enterprise-architecture/reference-patterns/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/reference-patterns/architecture-overview.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/best-practices.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/business-context.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/common-frameworks.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/examples/README.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/examples/example-01.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/examples/example-scenario.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/governance-checklist.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/reference-patterns/learning-path.md,14-learning-paths/enterprise-architecture/reference-patterns.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/reference-patterns/quick-reference.md,13-reference/enterprise-architecture/reference-patterns.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/reference-patterns/reference-guide.md,01-enterprise-architecture/reference-patterns/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/reference-patterns/troubleshooting-guide.md,95-review-required/generated-scaffolding/01-enterprise-architecture/reference-patterns/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/README.md,01-enterprise-architecture/solution-architecture/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/solution-architecture/architecture-overview.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/best-practices.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/business-context.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/common-frameworks.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/examples/README.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/examples/example-01.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/examples/example-scenario.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/governance-checklist.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
01-architecture/solution-architecture/learning-path.md,14-learning-paths/enterprise-architecture/solution-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/solution-architecture/quick-reference.md,13-reference/enterprise-architecture/solution-architecture.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/solution-architecture/reference-guide.md,01-enterprise-architecture/solution-architecture/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
01-architecture/solution-architecture/troubleshooting-guide.md,95-review-required/generated-scaffolding/01-enterprise-architecture/solution-architecture/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/README.md,03-data-engineering/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-lineage/README.md,03-data-engineering/data-lineage/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-lineage/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-lineage/learning-path.md,14-learning-paths/data-engineering/data-lineage.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-lineage/quick-reference.md,13-reference/data-engineering/data-lineage.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-lineage/reference-guide.md,03-data-engineering/data-lineage/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-lineage/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/data-lineage/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/README.md,03-data-engineering/data-modeling/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-modeling/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-modeling/learning-path.md,14-learning-paths/data-engineering/data-modeling.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-modeling/modeling-patterns.md,03-data-engineering/data-modeling/modeling-patterns.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-modeling/quick-reference.md,13-reference/data-engineering/data-modeling.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-modeling/reference-guide.md,03-data-engineering/data-modeling/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-modeling/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/data-modeling/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/README.md,03-data-engineering/data-quality/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-quality/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/data-quality/learning-path.md,14-learning-paths/data-engineering/data-quality.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-quality/quick-reference.md,13-reference/data-engineering/data-quality.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-quality/reference-guide.md,03-data-engineering/data-quality/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/data-quality/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/data-quality/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/README.md,03-data-engineering/databricks/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/databricks/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/databricks-patterns.md,03-data-engineering/databricks/databricks-patterns.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/databricks/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/databricks/learning-path.md,14-learning-paths/data-engineering/databricks.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/databricks/quick-reference.md,13-reference/data-engineering/databricks.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/databricks/reference-guide.md,03-data-engineering/databricks/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/databricks/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/databricks/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/README.md,03-data-engineering/dbt/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/dbt/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/dbt/learning-path.md,14-learning-paths/data-engineering/dbt.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/dbt/quick-reference.md,13-reference/data-engineering/dbt.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/dbt/reference-guide.md,03-data-engineering/dbt/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/dbt/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/dbt/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/index.md,99-archive/duplicates/domain-indexes/02-data-engineering-index.md,archive,Exact or normalized duplicate of the domain README.,Archived,false
02-data-engineering/orchestration/README.md,03-data-engineering/orchestration/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/orchestration/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/orchestration/learning-path.md,14-learning-paths/data-engineering/orchestration.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/orchestration/quick-reference.md,13-reference/data-engineering/orchestration.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/orchestration/reference-guide.md,03-data-engineering/orchestration/reference-guide.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/orchestration/troubleshooting-guide.md,95-review-required/generated-scaffolding/03-data-engineering/orchestration/troubleshooting-guide.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/README.md,03-data-engineering/sql/README.md,move,Align with the target taxonomy and content-type placement.,Completed,false
02-data-engineering/sql/architecture-overview.md,95-review-required/generated-scaffolding/03-data-engineering/sql/architecture-overview.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/best-practices.md,95-review-required/generated-scaffolding/03-data-engineering/sql/best-practices.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/business-context.md,95-review-required/generated-scaffolding/03-data-engineering/sql/business-context.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/common-frameworks.md,95-review-required/generated-scaffolding/03-data-engineering/sql/common-frameworks.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/examples/README.md,95-review-required/generated-scaffolding/03-data-engineering/sql/examples/README.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/examples/example-01.md,95-review-required/generated-scaffolding/03-data-engineering/sql/examples/example-01.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/examples/example-scenario.md,95-review-required/generated-scaffolding/03-data-engineering/sql/examples/example-scenario.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/governance-checklist.md,95-review-required/generated-scaffolding/03-data-engineering/sql/governance-checklist.md,review,Generated fragment requires subject-specific authority review.,Review Required,true
02-data-engineering/sql/learning-path.md,14-learning-paths/data-engineering/sql.md,move,Align with the target taxonomy and content-type placement.,Completed,false
